1982-02-03,4,0.53,0.816,8,-6.816,0,0.125,0.596,0.000105,0.0966,0.548,108.061,248595,3,207139,alternative rock
1983,30,0.257,0.982,8,-9.214,1,0.134,0.00058,0.901,0.361,0.202,122.643,136333,4,352606,alternative rock
1983,26,0.376,0.904,4,-8.502,1,0.0479,0.0339,0.794,0.337,0.609,189.074,148667,4,265019,alternative rock
1983,30,0.302,0.941,6,-9.858,1,0.0819,0.000252,0.343,0.127,0.34,119.651,149160,4,352606,alternative rock
1983,26,0.673,0.492,6,-14.377,0,0.0504,0.00226,0.0026,0.111,0.655,136.142,217627,4,352606,alternative rock
1983,22,0.381,0.945,0,-11.364,0,0.0819,0.000239,0.118,0.0617,0.3,119.449,96000,4,352606,alternative rock
1983,25,0.387,0.991,0,-9.144,0,0.0604,0.00143,0.939,0.392,0.195,91.533,94733,4,352606,alternative rock
1983,25,0.171,0.964,0,-9.06,0,0.0836,0.000493,0.832,0.0851,0.269,159.624,127573,4,352606,alternative rock
1983,25,0.195,0.936,1,-10.453,1,0.107,0.00261,0.475,0.339,0.444,167.795,117640,4,352606,alternative rock
1983,24,0.172,0.985,5,-10.453,0,0.105,0.00336,0.748,0.426,0.25,176.032,140160,4,352606,alternative rock
1983,25,0.414,0.991,6,-8.884,1,0.0473,0.000284,0.463,0.304,0.0742,94.251,69867,4,352606,alternative rock
1983,25,0.269,0.976,1,-10.024,1,0.0684,0.000735,0.369,0.0972,0.23,97.253,32090,3,352606,alternative rock
1983,22,0.283,0.985,5,-9.712,0,0.0706,4.15e-05,0.549,0.33,0.161,90.046,79267,4,352606,alternative rock
1983-06-04,25,0.167,0.994,4,-5.336,0,0.159,2.37e-05,0.401,0.24,0.368,195.471,232787,4,3226329,alternative rock
1983,22,0.346,0.993,1,-10.056,1,0.0642,0.000164,0.202,0.391,0.0716,90.668,105333,4,352606,alternative rock
1983,21,0.275,0.973,3,-10.097,1,0.0631,1.73e-05,0.574,0.0481,0.262,126.808,119667,3,352606,alternative rock
1983,21,0.233,0.991,5,-9.621,0,0.175,0.00034,0.597,0.264,0.0733,120.293,115307,4,352606,alternative rock
1983,21,0.255,0.984,8,-9.93,1,0.116,0.000238,0.91,0.118,0.0403,95.97,58440,4,352606,alternative rock
1983,20,0.256,0.984,10,-11.399,1,0.0879,0.00063,0.317,0.241,0.13,128.16,126227,4,352606,alternative rock
1983-05-06,14,0.69,0.935,0,-5.313,1,0.0683,0.07,0,0.816,0.785,145.649,315907,4,205889,alternative rock
1983-06-04,10,0.167,0.991,4,-6.107,0,0.159,1.28e-05,0.326,0.225,0.409,195.262,232813,4,3226329,alternative rock
1983-05-01,7,0.571,0.501,0,-11.657,1,0.0416,0.957,0.272,0.406,0.96,132.682,304866,4,237555,alternative rock
1983-06-04,7,0.349,0.986,8,-7.235,1,0.1,4.6e-05,0.107,0.246,0.216,103.044,278093,4,3226329,alternative rock
1984-01-01,36,0.49,0.571,4,-15.05,1,0.034,0.205,3.6e-05,0.24,0.924,152.129,273067,4,3497640,alternative rock
1984-05-11,29,0.494,0.799,4,-6.778,1,0.0293,0.165,1.91e-05,0.25,0.932,151.579,273107,4,3497640,alternative rock
1984-05-11,10,0.318,0.957,4,-6.451,1,0.103,0.01,0.0074,0.814,0.58,161.412,269853,4,3497640,alternative rock
1984-09-27,6,0.631,0.676,0,-8.168,1,0.0552,0.048,0,0.76,0.566,136.074,178000,4,15267,alternative rock
1984-09-27,6,0.534,0.72,7,-6.938,0,0.0546,0.0364,0,0.192,0.54,139.101,211000,4,15267,alternative rock
1984-09-27,7,0.582,0.694,10,-5.321,1,0.0366,0.0446,0,0.133,0.47,139.206,184500,4,15267,alternative rock
1984-09-27,5,0.314,0.785,5,-5.402,1,0.0537,0.00152,0,0.557,0.682,177.714,172000,4,15267,alternative rock
1984,3,0.498,0.721,4,-12.588,1,0.0305,0.0452,0.412,0.138,0.645,102.469,281853,4,551620,alternative rock
1984-01-01,11,0.521,0.632,9,-11.075,1,0.0453,0.112,7.86e-05,0.131,0.94,205.623,209067,4,47600,alternative rock
1984-09-27,1,0.416,0.41,10,-7.92,1,0.0347,0.722,0,0.101,0.227,165.991,229000,4,15267,alternative rock
1984-09-27,1,0.753,0.457,0,-7.452,0,0.0352,0.197,0,0.146,0.501,98.731,241500,4,15267,alternative rock
1984-09-27,4,0.498,0.777,5,-6.083,0,0.0465,0.0132,0,0.0879,0.755,146.286,204000,4,15267,alternative rock
1984-09-27,1,0.601,0.713,1,-4.858,1,0.0526,0.0658,0,0.171,0.819,137.803,161000,4,15267,alternative rock
1984-09-27,1,0.521,0.687,0,-6.96,1,0.0452,0.0441,0,0.219,0.482,139.972,210000,4,15267,alternative rock
1984-09-27,4,0.425,0.685,0,-6.637,0,0.126,0.105,0,0.0853,0.56,171.551,185500,4,15267,alternative rock
1984-09-27,1,0.62,0.868,5,-4.503,0,0.0415,0.0809,0,0.0632,0.903,131.863,226500,4,15267,alternative rock
1985-01-01,21,0.656,0.766,5,-9.925,1,0.0308,0.443,0,0.282,0.786,79.983,234933,4,118067,alternative rock
1985-05-31,43,0.584,0.632,0,-7.216,1,0.0314,0.564,0.19,0.0647,0.729,126.522,369442,4,207139,alternative rock
1985-05-31,8,0.594,0.678,9,-9.201,1,0.163,0.385,0,0.062,0.924,128.639,256907,4,3682,alternative rock
1985-05-31,30,0.384,0.914,2,-7.796,1,0.193,0.88,2.71e-05,0.765,0.389,136.403,427898,4,207139,alternative rock
1985,23,0.679,0.828,4,-8.948,1,0.0316,0.483,5.89e-06,0.345,0.968,147.063,267360,4,91412,alternative rock
1985-05-23,43,0.657,0.829,11,-6.649,1,0.0287,0.00296,1.08e-06,0.144,0.716,135.024,289067,4,205889,alternative rock
1985,7,0.479,0.965,0,-8.94,1,0.0387,0.0236,0.0257,0.346,0.816,103.595,164107,4,91412,alternative rock
1985-05-31,23,0.38,0.832,7,-7.695,1,0.0979,0.696,0.024,0.966,0.584,87.201,459232,4,207139,alternative rock
1985-05-31,21,0.316,0.891,5,-7.944,1,0.105,0.649,0,0.814,0.323,135.893,244555,4,207139,alternative rock
