3ade68b8ge96310b3,I Lived,en,3ade68b6g3ae7fda3,OneRepublic,241,Alternative Rock,"['Rock Alternativo', 'Pop/Rock', 'Rock', 'Pop', 'Indie', 'Trilha Sonora', 'Romântico', 'Soft Rock', 'Dance', 'Axé', 'Country', 'Piano Rock', 'Gospel/Religioso', 'Hard Rock', 'Blues', 'R&B', 'Clássico', 'New Wave', 'Pagode', 'Electro Swing', 'Rap', 'Funk', 'Hardcore', 'Folk', 'Punk Rock', 'Electronica', 'Gótico', 'Grunge', 'Hip Hop', 'Black Music', 'Funk Carioca', 'Emocore', 'Soul Music', 'Pop/Punk']","['male','man','male vocal']",0.576,0.852,9,1,0.0463,0.0899,0,0.329,0.28,120.007,235813,4,0.012815156742182
3ade68b8gf4fa40b3,Estou a Esperar,pt-br,3ade68b7g3e212ea3,Tony Allysson,467,Gospel/Religious,"['Gospel/Religioso', 'Trip-Hop']","['guitar','rock','pop']",0.473,0.665,4,1,0.0267,0.394,0.000276,0.0752,0.385,137.997,339653,4,0.064075783710911
3ade68b7g2ad15ea3,Vivir Sin Aire,es,3ade68b5g6847eda3,Maná,480,Pop/Rock,"['Pop/Rock', 'Rock', 'Romântico', 'Pop', 'K-Pop/K-Rock', 'Country', 'Rock Alternativo', 'Indie', 'Fado', 'Axé', 'World Music', 'Folk']","['guitar','vocal','slow']",0.67,0.528,7,1,0.0261,0.105,0.000103,0.224,0.384,132.31,291493,4,0.20504250787491
3ade68b6g29dbeda3,Amanhã é 23,pt-br,3ade68b2g4b86eda3,Kid Abelha,313,Pop,"['Pop', 'Pop/Rock', 'MPB', 'Romântico', 'Rock', 'Trilha Sonora', 'Rock Alternativo', 'Jovem Guarda', 'Clássico', 'Axé', 'Bossa Nova', 'Funk', 'Reggae', 'Country', 'Black Music', 'Indie', 'Disco', 'Gótico', 'Instrumental', 'Folk', 'Dance', 'Gospel/Religioso', 'J-Pop/J-Rock']","['indian','vocal','male']",0.555,0.759,11,0,0.0406,0.154,0.00466,0.26,0.425,111.507,310133,4,0.11533641067964
3ade68b8g3f36b0b3,Summer,en,3ade68b7g2a703ea3,Marshmello,192,Electronic,"['Electronica', 'House', 'Electro Swing', 'Pop', 'Funk', 'Tecnopop', 'Emocore', 'Dance', 'Hardcore']","['techno','electronic','fast']",0.583,0.748,6,1,0.0292,0.00695,0.0241,0.22,0.254,142.029,233239,4,0.0024679568706439
3ade68b6g1eeeeda3,Everybody Hurts,en,3ade68b3g0f86eda3,R.E.M.,263,Rock,"['Rock', 'Rock Alternativo', 'Indie', 'Romântico', 'Clássico', 'Classic Rock', 'Emocore', 'World Music', 'Country']","['guitar','piano','slow']",0.467,0.324,2,1,0.0255,0.615,0.0248,0.118,0.166,94.301,320267,3,0.140966724164
3ade68b8ged98d0b3,I Don't Mind,en,3ade68b7gdd8b2ea3,ZAYN,241,Pop,"['Pop', 'R&B', 'Pop/Rock', 'Rap', 'Indie', 'Hip Hop', 'Dance', 'Axé', 'Romântico', 'Forró', 'Electronica', 'Soul Music', 'MPB', 'Funk', 'Funk Carioca', 'Rock', 'Blues', 'Soft Rock', 'Folk', 'Trance', 'Industrial', 'Reggae', 'Trilha Sonora', 'Hard Rock', 'Disco', 'Rock Alternativo', 'Heavy Metal', 'Psicodelia', 'Punk Rock', 'World Music', 'Sertanejo', 'Black Music', 'Emocore']","['vocal','techno','male vocal']",0.684,0.516,11,0,0.114,0.377,0,0.0818,0.456,82.962,205413,4,0.025630313484364
3ade68b8ga583d0b3,Só Pra Castigar,pt-br,3ade68b6g193eeda3,Wesley Safadão,205,Forró,"['Forró', 'Romântico', 'Sertanejo', 'Axé', 'Regional', 'Electronica', 'Pagode', 'Funk Carioca', 'House', 'Funk', 'Electro Swing', 'Gospel/Religioso', 'Rock', 'Heavy Metal', 'Gótico', 'Pop/Rock', 'Folk', 'Disco', 'Black Music', 'Velha Guarda', 'Reggae', 'Pop', 'Samba Enredo', 'Ska', 'Bossa Nova', 'Jovem Guarda', 'Dance', 'Samba', 'Hard Rock', 'Jazz', 'MPB', 'Instrumental']","['pop','rock','male vocal']",0.681,0.94,0,1,0.0386,0.0201,0,0.578,0.648,124.015,163851,4,0.076890940453093
3ade68b8g1dcc60b3,Dia Especial,pt-br,3ade68b7g16460ea3,Tiago Iorc,245,Pop,"['Pop', 'Romântico', 'Pop/Rock', 'Trilha Sonora', 'MPB', 'Folk', 'Indie', 'World Music', 'Forró', 'Jazz', 'Industrial', 'Metal', 'Dance', 'Gospel/Religioso', 'Tropical House', 'Rock', 'Chillout', 'Sertanejo', 'Country', 'Rock Alternativo', 'Bossa Nova']","['guitar','male vocal','male']",0.425,0.459,3,1,0.032,0.555,0.013,0.103,0.367,152.098,237870,4,0.64075783710911
3ade68b8gcc2f60b3,Igual Não Há,pt-br,3ade68b6g55aceda3,Lauriete,224,Gospel/Religious,"['Gospel/Religioso', 'Clássico', 'Instrumental', 'Axé', 'Funk', 'Romântico']","['female','woman','vocal']",0.499,0.763,6,1,0.0518,0.49,0,0.361,0.483,147.85,325187,4,0.33319407529673
